file_name,location,season
00.png,"Abiline, TX",Summer
01.png,"Abiline, TX",Spring
02.png,"Abiline, TX",Summer
03.png,"Austin, TX",Winter
04.png,"Austin, TX",Spring
05.png,"Austin, TX",Summer
06.png,"Baltimore, MD",Winter
07.png,"Baltimore, MD",Spring
08.png,"Baltimore, MD",Summer
09.png,"Boston, MA",Winter
10.png,"Boston, MA",Spring
